variable_key,plant_code,dataset_slug,column_name,aggregation,transform,transform_value,offset_months,notes,is_active
pcs.brine_density_g_cm3,PCS,,,SUM,NONE,,0,,1
pcs.brine_volume_m3,PCS,,,SUM,NONE,,0,,1
pcs.crystal_height_m,PCS,,,SUM,NONE,,0,,1
pcs.energy_equivalent_boe,PCS,,,SUM,NONE,,0,,1
pcs.evaporated_volume_real_m3,PCS,,,SUM,NONE,,0,,1
pcs.evaporated_volume_theoretical_m3,PCS,,,SUM,NONE,,0,,1
pcs.pool_area_effective_m2,PCS,,,SUM,NONE,,0,,1
pcs.salts_mass_tm,PCS,,,SUM,NONE,,0,,1
pcs.tds_pct,PCS,,,SUM,NONE,,0,,1
lic.energy_equivalent_boe,PICL,,,SUM,NONE,,0,,1
lic.feed_li_grade_pct,PICL,,,SUM,NONE,,0,,1
lic.feed_mass_tm,PICL,,,SUM,NONE,,0,,1
lic.product_mass_tm,PICL,,,SUM,NONE,,0,,1
lic.product_purity_pct,PICL,,,SUM,NONE,,0,,1
lic.residue_li_grade_pct,PICL,,,SUM,NONE,,0,,1
lic.residue_mass_tm,PICL,,,SUM,NONE,,0,,1
kcl.energy_equivalent_boe,PIKCL,,,SUM,NONE,,0,,1
kcl.feed_k2o_pct,PIKCL,,,SUM,NONE,,0,,1
kcl.feed_mass_tm,PIKCL,,,SUM,NONE,,0,,1
kcl.product_grade_pct,PIKCL,,,SUM,NONE,,0,,1
kcl.product_mass_tm,PIKCL,,,SUM,NONE,,0,,1
kcl.tails_k_grade_pct,PIKCL,,,SUM,NONE,,0,,1
kcl.tails_mass_tm,PIKCL,,,SUM,NONE,,0,,1
kcl.water_fresh_m3,PIKCL,,,SUM,NONE,,0,,1
kcl.water_recirculated_m3,PIKCL,,,SUM,NONE,,0,,1
